,5.0,50.0,95.0
1.0,7.6469865,7.809132,8.070739
2.0,7.753987,7.9161325,8.177739
5.0,7.8953867,8.057532,8.3191395
10.0,8.0040865,8.166232,8.427839
20.0,8.115687,8.277832,8.539439
25.0,8.152187,8.314333,8.575939
50.0,8.269987,8.432133,8.693739
75.0,8.341387,8.503532,8.765139
100.0,8.393587,8.555733,8.817339
150.0,8.470787,8.632933,8.894539
200.0,8.526688,8.688833,8.950439
250.0,8.570487,8.732632,8.994239
300.0,8.607087,8.769232,9.030839
500.0,8.713087,8.875233,9.136839
1000.0,8.867988,9.030132,9.291739
10000.0,9.442987,9.605133,9.866739
