,5.0,50.0,95.0
1.0,5.4909906,5.546462,5.615004
2.0,5.6025906,5.658062,5.726604
5.0,5.7473907,5.802862,5.871404
10.0,5.85579,5.911262,5.979804
20.0,5.96319,6.018662,6.087204
25.0,5.997491,6.0529623,6.1215043
50.0,6.105691,6.1611624,6.2297044
75.0,6.16759,6.223062,6.291604
100.0,6.2121906,6.267662,6.336204
150.0,6.2753906,6.330862,6.399404
200.0,6.31849,6.373962,6.442504
250.0,6.3540907,6.409562,6.478104
300.0,6.382291,6.4377623,6.5063043
500.0,6.45979,6.515262,6.583804
1000.0,6.570491,6.6259623,6.6945043
10000.0,6.9642906,7.019762,7.088304
